State,Year,Forest,Barren,Others,Fallow,Cropped
1,2000,0,25536,76574,77455,242299
1,2001,0,25536,76574,77455,247739
1,2002,0,25586,76574,77455,255212
1,2003,0,63613,120303,109094,254000
1,2004,0,64904,121765,109218,255000
1,2005,0,64882,121901,109210,266000
1,2006,0,64922,121900,109279,271000
1,2007,0,64463,122195,109608,272000
1,2008,0,64471,120261,109500,275500
1,2009,0,64462,120440,109648,276000
1,2010,0,64462,119943,109143,278000
1,2011,0,64402,119355,108181,281017
1,2012,0,64402,118920,107182,284573
1,2013,5129677,64402,116380,100782,295577
1,2014,5129677,61979,115380,100618,299000
1,2015,0,61979,114489,100173,301112
1,2016,0,61979,113489,95673,313200
1,2017,0,61979,112989,95763,316417
1,2018,0,61979,112989,94673,319895
1,2019,0,61979,112989,94193,320388
1,2020,0,61979,112759,94123,327942
1,2021,0,0,0,0,0
1,2022,0,0,0,0,0
1,2023,0,0,0,0,0
1,2024,0,0,0,0,0
2,2000,5813000,1842000,1317000,770000,7877960
2,2001,5813000,1842000,1317000,754000,8798650
2,2002,5813000,1842000,1317000,919000,7852560
2,2003,5813000,1842000,1317000,804000,8636590
2,2004,5813000,1842000,1317000,860000,8717921
2,2005,5813000,1842000,1317000,908000,8928390
2,2006,862930,74656,177074,158159,405842
2,2007,5813000,2138000,1211000,785000,9015820
2,2008,5813000,2138000,1211000,805000,9070620
2,2009,5813547,2306000,1223000,1432000,5510044
2,2010,5813547,2279000,1253000,1444000,5428784
2,2011,5813547,2297000,1244000,1619000,4964475
2,2012,5813547,2409000,1285000,1608000,5068591
2,2013,5813547,2332000,1315000,1511000,5167661
2,2014,5813547,2396000,1285000,1549000,5173003
2,2015,1924000,2430000,1302000,1683000,4802647
2,2016,1897000,2436000,1333000,1770000,4884260
2,2017,1925000,2353000,1401000,1993000,4501826
2,2018,1912000,2419000,1365000,1827000,4526995
2,2019,1963000,2331000,1372000,1760000,4669753
2,2020,1850000,2485000,1356000,1658000,4819259
2,2021,0,0,0,0,0
2,2022,0,0,0,0,0
2,2023,0,0,0,0,0
2,2024,0,0,0,0,0
3,2000,0,26900,8055,200,208500
3,2001,0,0,0,0,216160
3,2002,5149700,2915400,2454000,3043700,20915500
3,2003,0,0,0,0,217420
3,2004,0,0,0,0,179530
3,2005,0,0,0,0,0
3,2006,0,0,0,0,0
3,2007,0,0,0,0,0
3,2008,0,0,0,0,0
3,2009,0,0,0,0,0
3,2010,0,0,0,0,0
3,2011,0,0,0,0,0
3,2012,0,0,0,0,0
3,2013,0,0,0,0,0
3,2014,0,0,0,0,0
3,2015,0,0,0,0,0
3,2016,0,0,0,0,0
3,2017,0,0,0,0,0
3,2018,0,0,0,0,0
3,2019,0,0,0,0,0
3,2020,0,0,0,0,0
3,2021,0,0,0,0,0
3,2022,0,0,0,0,0
3,2023,0,0,0,0,0
3,2024,0,0,0,0,0
4,2000,2606093,4305645,6628637,4859466,19230240
4,2001,2645097,4272203,6442262,4140665,20798311
4,2002,2651014,4278953,6582075,9947231,13217538
4,2003,2660600,4259109,6269106,3682903,21664038
4,2004,2660816,4266913,6325028,4464498,21334486
4,2005,2674961,4262260,6318715,4173666,21699348
4,2006,2697575,4262060,6337091,4204437,21533809
4,2007,2726690,4264426,6291626,3891287,22208291
4,2008,2727944,4265141,6052329,3673058,22771259
4,2009,2735445,4267633,6189617,4102834,21744877
4,2010,2742705,4267932,5948808,2961631,26001788
4,2011,0,0,0,0,0
4,2012,2749812,4275172,5869865,3893610,23953602
4,2013,2757735,4274149,5717844,3249827,26119527
4,2014,2739819,4343013,5738312,3924829,24235354
4,2015,2751867,4340113,5587835,3563187,25013704
4,2016,255408,536283,26688,84219,7804364
4,2017,2755703,4365999,5528090,3734161,25069010
4,2018,2760127,4375272,5478146,3895421,25313351
4,2019,2769790,4378847,5412194,3697764,27515432
4,2020,2771530,4377403,5424021,3768283,26099974
4,2021,0,0,0,0,0
4,2022,0,0,0,0,0
4,2023,0,0,0,0,0
4,2024,0,0,0,0,0
5,2000,616446,2074594,295365,710586,7992279
5,2001,621635,2078572,298602,697207,7896888
5,2002,621635,2079382,300660,632412,7957402
5,2003,621635,2080880,301773,643192,7882377
5,2004,621635,2081892,302718,780921,7399318
5,2005,621635,2082759,303395,795593,7396492
5,2006,621635,2082950,303499,686362,7718948
5,2007,621635,2084753,303025,687951,7764646
5,2008,621635,2102222,304159,777469,7670934
5,2009,621635,2121439,305136,979625,7295805
5,2010,621635,2131457,305628,1042149,7194000
5,2011,621635,2134254,305506,902428,7646756
5,2012,621635,2140090,306963,888486,7777518
5,2013,621635,2143999,307710,1033973,7580142
5,2014,621635,2143809,307811,1007997,7672952
5,2015,621635,2144739,307640,1080658,7572417
5,2016,621635,2150305,307606,987088,7654357
5,2017,621635,2150029,307513,1038419,7525181
5,2018,621635,2150280,307325,1113174,7406378
5,2019,621635,2165829,308509,1186462,7296812
5,2020,621635,2182455,308540,1201582,7264538
5,2021,0,0,0,0,0
5,2022,0,0,0,0,0
5,2023,0,0,0,0,0
5,2024,0,0,0,0,0
6,2000,0,0,0,0,0
6,2001,0,0,0,0,0
6,2002,0,0,0,0,0
6,2003,0,0,0,0,0
6,2004,0,0,0,0,0
6,2005,0,0,0,0,0
6,2006,0,0,0,0,0
6,2007,0,0,0,0,0
6,2008,2105906,2664505,702415,2510923,5824248
6,2009,0,0,0,0,0
6,2010,0,0,0,0,0
6,2011,0,0,0,0,0
6,2012,2125475,2672415,687138,3003848,5139832
6,2013,0,0,0,0,0
6,2014,0,21700,0,0,0
6,2015,0,21700,0,0,0
6,2016,2646812,1379438,568993,1523992,5477964
6,2017,2646812,1361738,568993,1458200,5530169
6,2018,2353355,1322974,551247,1657128,5215398
6,2019,2683795,1418779,545418,997053,7238236
6,2020,2753605,1418767,469850,575299,8226638
6,2021,0,0,0,0,0
6,2022,0,0,0,0,0
6,2023,0,0,0,0,0
6,2024,0,0,0,0,0
7,2000,0,0,0,0,0
7,2001,0,0,0,0,0
7,2002,0,0,0,0,0
7,2003,0,0,0,0,0
7,2004,0,0,0,0,0
7,2005,0,0,0,0,0
7,2006,0,0,0,0,0
7,2007,0,0,0,0,0
7,2008,0,0,0,0,0
7,2009,0,0,0,0,0
7,2010,0,0,0,0,0
7,2011,0,0,0,0,0
7,2012,0,0,0,0,0
7,2013,0,0,0,0,0
7,2014,0,0,0,0,0
7,2015,0,0,0,0,0
7,2016,0,0,0,0,0
