Year,Month,district_id,Total Evaporation (mm),Normal (mm),Population
2024,1,3,6.2,1.76,512976
2024,2,3,4.35,0.92,512976
2024,3,3,3.41,2.19,512976
2024,4,3,4.8,12.9,512976
2024,5,3,37.2,37.37,512976
2024,6,3,78.9,61.7,512976
2024,7,3,64.48,65.33,512976
2024,8,3,101.99,85.2,512976
2024,9,3,81.3,119.43,512976
2024,10,3,98.89,102.09,512976
2024,1,6,23.56,4.92,7299469
2024,2,6,15.37,2.99,7299469
2024,3,6,9.92,10.15,7299469
2024,4,6,4.5,22.4,7299469
2024,5,6,40.3,69.16,7299469
2024,6,6,86.4,82.56,7299469
2024,7,6,92.69,105.61,7299469
2024,8,6,122.14,127.24,7299469
2024,9,6,90.6,161.67,7299469
2024,10,6,113.15,159.33,7299469
2024,1,7,23.87,9.55,8056796
2024,2,7,11.89,7.53,8056796
2024,3,7,10.23,15.51,8056796
2024,4,7,6.9,22.07,8056796
2024,5,7,51.46,86.85,8056796
2024,6,7,101.7,124.05,8056796
2024,7,7,113.15,252,8056796
2024,8,7,141.98,247.68,8056796
2024,9,7,140.7,181.1,8056796
2024,10,7,146.63,175.5,8056796
2024,1,9,19.84,7.96,7363368
2024,2,9,9.57,9.52,7363368
2024,3,9,5.27,9.93,7363368
2024,4,9,3.9,13.19,7363368
2024,5,9,46.5,62.41,7363368
2024,6,9,79.2,101.9,7363368
2024,7,9,102.3,167.24,7363368
2024,8,9,124.93,169.78,7363368
2024,9,9,128.4,153.44,7363368
2024,10,9,125.24,136.51,7363368
2024,1,13,18.6,7.09,6403522
2024,2,13,8.99,10.08,6403522
2024,3,13,4.96,11.38,6403522
2024,4,13,3,14.07,6403522
2024,5,13,42.16,57.33,6403522
2024,6,13,85.5,96.77,6403522
2024,7,13,94.24,198.79,6403522
2024,8,13,115.01,198.92,6403522
2024,9,13,112.2,172.66,6403522
2024,10,13,115.01,190.32,6403522
2024,1,10,4.96,3.18,6994978
2024,2,10,2.9,1.56,6994978
2024,3,10,2.79,5.91,6994978
2024,4,10,6.6,16.58,6994978
2024,5,10,43.71,40.92,6994978
2024,6,10,85.2,78.62,6994978
2024,7,10,87.73,90.96,6994978
2024,8,10,119.04,117.73,6994978
2024,9,10,115.2,122.78,6994978
2024,10,10,108.81,111.71,6994978
2024,1,18,17.98,11.35,7693049
2024,2,18,10.44,4.37,7693049
2024,3,18,6.51,10.89,7693049
2024,4,18,4.2,13.67,7693049
2024,5,18,39.37,51.84,7693049
2024,6,18,75.3,59.53,7693049
2024,7,18,93,90.19,7693049
2024,8,18,109.12,94.66,7693049
2024,9,18,116.4,142.58,7693049
2024,10,18,105.09,217.95,7693049
2024,1,20,23.25,12.52,4873201
2024,2,20,12.76,5.45,4873201
2024,3,20,9.61,5.18,4873201
2024,4,20,4.5,11.75,4873201
2024,5,20,29.45,54.64,4873201
2024,6,20,72.9,52.96,4873201
2024,7,20,101.68,85.68,4873201
2024,8,20,93.93,85.48,4873201
2024,9,20,84.6,113.78,4873201
2024,10,20,78.74,272.61,4873201
2024,1,21,11.47,6.12,7976448
2024,2,21,6.67,19.83,7976448
2024,3,21,12.71,19.97,7976448
2024,4,21,11.4,30.53,7976448
2024,5,21,34.72,102.07,7976448
2024,6,21,61.2,140.28,7976448
2024,7,21,69.13,188.04,7976448
2024,8,21,91.76,192.48,7976448
2024,9,21,92.7,208.77,7976448
2024,10,21,87.73,195.04,7976448
2024,1,23,22.01,12.19,5840047
2024,2,23,13.34,12.99,5840047
2024,3,23,9.3,16.93,5840047
2024,4,23,21,24.84,5840047
2024,5,23,64.79,92.71,5840047
2024,6,23,100.8,112.99,5840047
2024,7,23,101.37,141.3,5840047
2024,8,23,121.52,185.15,5840047
2024,9,23,130.8,175.54,5840047
2024,10,23,132.99,241.53,5840047
2024,1,24,17.98,9.18,4245961
2024,2,24,11.6,16.46,4245961
2024,3,24,15.81,18.02,4245961
2024,4,24,18.9,30.37,4245961
2024,5,24,57.66,115.31,4245961
2024,6,24,85.2,127.35,4245961
2024,7,24,104.47,173.41,4245961
2024,8,24,136.4,193.32,4245961
2024,9,24,138,197.46,4245961
2024,10,24,131.13,181.97,4245961
2024,1,25,26.04,9.78,6747321
2024,2,25,9.57,8.7,6747321
2024,3,25,9.61,14.34,6747321
2024,4,25,5.4,20.04,6747321
2024,5,25,43.4,73.03,6747321
2024,6,25,90.9,115.6,6747321
2024,7,25,110.67,250.04,6747321
2024,8,25,140.12,257.86,6747321
2024,9,25,132.3,197.22,6747321
2024,10,25,139.19,210.86,6747321
2024,1,26,18.91,1.74,4920905
2024,2,26,11.31,0.93,4920905
2024,3,26,6.51,2.49,4920905
2024,4,26,3.9,13.48,4920905
2024,5,26,36.58,37.28,4920905
2024,6,26,81.6,69.9,4920905
2024,7,26,83.7,99.9,4920905
2024,8,26,97.34,121.63,4920905
2024,9,26,84,128.86,4920905
2024,10,26,97.65,135.28,4920905
