Reservoir Name,Latitude,Longitude
Aliyar Reservoir,10.4739,76.97279999999999
Almatti Reservoir,16.331,75.88799999999999
Balimela Reservoir,18.25314,82.1849588
Ban Sagar,24.189611770246398, 81.28702792788569
Bargi\Rani Avanti Bai Sagar,22.941165504021214, 79.92314652545501
Barna,23.072971, 78.031070
Bhadar Reservoir,21.805908,70.8060491
Bhadra Reservoir,13.6785039,75.5800678
Bhandardara,19.5375291,73.7694815
Bhatghar,18.1649049,73.85587360000001
Bhatsa,19.518938, 73.422310
Bhima\Ujjani Reservoir,18.073889,75.11999999999999
Bisalpur,28.2937839,79.804459
Brahmani-I,22.900828921121335, 71.1506332555713
Damanganga Reservoir,20.347962459373086, 72.91135153367222
Dantiwada Reservoir,24.32383,72.3308073
Dhom,17.9842552700021, 73.79556407856244
Doyang Hep,26.2313818,94.26172670000001
Dudhawa,20.2966187,81.7404134
Dudhganga,16.315979609014143, 73.97232055198376
Gandhi Sagar,24.6902562,75.56697
Gerusoppa Reservoir,14.2577836,74.6971257
GhatPrabha\Hidkal Reservoir,16.2394587,74.7585775
Girna Reservoir,20.83286428382371, 75.42391974089239
Gobind Sagar-Bhakra Reservoir,31.4111875,76.4334219
Gumti Reservoir,23.538927860796992, 91.86054636465109
Harangi Reservoir,12.491667,75.90555599999999
Hathmati,23.62332837058363,72.94307296229093
Hemavathy Reservoir,12.824763371675848, 76.05457959981271
Hirakud Reservoir,21.6109371,83.81547909999999
Idamalayar Reservoir,10.22184486092529, 76.70641281188423
Idukki Reservoir,9.8061793,76.944141
Indira Sagar,22.2841592,76.4715817
Isapur Reservoir,19.76425,77.376452
Jayakwadi\Nath Sagar,19.4779213,75.3656299
Jhakam Reservoir,24.170086409066922, 74.5908653986417
Jirgo Dam,25.0495769,82.93595529999999
Kabini Reservoir,11.957336,76.2855634
Kadana Reservoir,23.3475192,73.859549
Kakki Reservoir,9.325802756726942, 77.15459973104352
Kallada Reservoir,8.959405635259976, 77.06613662752581
Kangsabati Reservoir,22.953503947012134, 86.711911836311
Kanher Dam,17.758849,73.874205
Karjan Reservoir,21.783362,73.5329091
Khadakwasla Reservoir,18.4454128,73.7801447
Kolar,13.1362143,78.12909859999999
Kol Dam,31.383056,76.871111
Konar Reservoir,23.929163,85.76193839999999
Koyana/Shivaji Sagar,17.4009594,73.75035989999999
Krishnaraja Sagar,12.4254763,76.5724381
Linganamakki Reservoir,14.0549312,74.903339
Lower Bhawani \ Bhavanisagar Reservoir,11.4709508,77.11428169999999
Lower Manair\G.V.Sudhakar Rao Reservoir,18.388805321499014, 79.12053765497673
Machhu I,22.492436855348597, 70.9709304291086
Machhu II,22.816873331814353, 70.86381373155228
Machkund\Jalaput Reservoir,18.3977508,82.55916030000002
Mahanadi\Ravishankar Sagar,20.589307851030288, 81.53301235514559
Maithon Reservoir,23.7734998,86.79752769999999
Malampuzha,10.8280802,76.7368037
Malaprabha Reservoir,15.817209421938086, 75.09338893852492
Mani Dam,13.6577164,75.0932352
Manikdoh,19.2267466,73.8154394
Matatila Reservoir,25.1075688,78.3652049
Mayurakshi\Masanjor Reservoir,24.1114381,87.30906829999999
Mettur Reservoir,11.7973262,77.8106033
Minimata Bangoi\Hasdeo Reservoir,22.605037522437822, 82.59887339383438
Mula Reservoir,19.329307,74.529555
Mulshi Dam,18.5306668,73.5111883
Nagarjuna Sagar,16.5759672,79.3124022
Narayanapura Reservoir,16.2121455,76.3347838
Niradevghar,18.100174, 73.721375
Nizam sagar,18.2025,77.923889
Omkareshwar,22.2507773,76.15228789999999
Panam Reservoir,23.0252144,73.7654367
Panchat Reservoir,23.678056, 86.746944
Parambikulam Reservoir,10.386646,76.8057776
Pench\Totladoh Reservoir,21.658385,79.294167
Periyar Reservoir,9.5287072,77.1443026
Pong Reservoir,31.9765793,76.0507949
Ramganga Reservoir,29.5533039,78.7589558
Ranapratap Sagar,24.9176854,75.5836194
Rengali Reservoir,21.3296999,85.0025539
RIHAND RESERVOIR,24.1426423,82.8425216
Sabarmati Reservoir,24.021381535356063, 72.86428846297882
Salandi Reservoir,21.3329898,86.2818753
Sanjay Sarovar (Upper Wainganga),22.376111,79.66383929999999
Sapua,20.59, 85.29
Sardar Sarovar,21.8305054,73.7485212
Sharda Sagar,28.7793245,80.0814292
Shetrunji Reservoir,21.38834631366483,71.999012843716
Sholayar Reservoir,10.3046321,76.7812596
Singur,22.814957,88.234481
Somasila Reservoir,14.4909383,79.2112769
Sriram Sagar,18.9686106,78.3411074
Srisailam Reservoir,16.0861287,78.8971772
Supa Reservoir,15.2632035,74.49359129999999
Tattihalla,15.1179105,74.78306289999999
Tawa Reservoir,22.544688144858817, 77.97068757067737
Tehri Reservoir,30.3929041,78.478036
Tenughat Reservoir,23.7420757,85.7974141
Thokarwadi,18.90502,73.5093474
Tilaiya Reservoir,24.3190189,85.5277488
Tungabhadra Reservoir,15.3,76.333333
Ukai Reservoir,21.2341558,73.5785523
Und I,22.39593930439285, 70.40378002814322
Upper Indrawati Reservoir,19.27917495379358, 82.82827734616316
Upper Kolab Reservoir,18.8028232,82.6059416
Upper Tapi\Hatnur Reservoir,17.1527665,74.63199159999999
Upper Vaitarana Reservoir,19.8223626,73.51523809999999
Upper Wardha Reservoir,20.745319,78.60219459999999
Urmodi,17.678490003825484, 73.88542913651696
Vagai Reservoir,9.8977545,78.1763046
Vanivilasa Sagar,13.8882241,76.489327
Watrak,23.324588658471786, 73.45944977053044
Yeldari Reservoir,19.7461111,76.7297222
Yeleru,17.315481908112567, 82.06434430235142
ADAVIPALLI RESERVOIR,13.382732905096804, 79.28544484611935
ADINIMMAYAPALLI ANICUT,14.605490796189384, 78.73125672463347
Advana,21.9139461,69.5939002
Aji-I,22.264416793481356, 70.84837515628746
Aji - II,22.381291193847794, 70.77284415160031
Aji-III,22.516780642078754, 70.57921012140233
Aji-IV,22.71793169708311, 70.48614954402564
ALAGANURU BALANCING RESERVOIR,15.7119964,78.401286
Ambajal,21.28302634322572, 70.73840261548585
Amipur,28.4009417,77.443383
ANDRA RESERVOIR,18.3389043,83.19437239999999
ANNAMAYYA (CHEYYERU) RESERVOIR,16.6027709,82.1006244
ARANIAR RESERVOIR,13.3991349,79.74138959999999
BADVEL TANK,14.7304949,79.05974049999999
BAHUDA RESERVOIR,13.560042039777553, 78.62398476413411
Baldeva,21.616794307069448, 73.40979485120053
BALIMELA RESERVOIR,18.25314,82.1849588
Bangawadi,13.0764978,75.3590152
Bantva-Kharo,21.4900542,70.0749046
Berachia,23.212398279957153, 69.06631064668584
Bhadar,21.810312858273956, 70.8073534954462
Bhadar - II,21.780904741528023, 70.4394147431314
BHAIRAVANITHIPPA PROJECT,14.5394713,76.8386364
Bhimdad,22.0868593,71.5842643
Bhukhi,22.6345342,73.59769
BHUPATIPALEM RESERVOIR,17.4491681,81.7581928
BRAHMAMSAGAR RESERVOIR,14.7802661,78.8892146
BUGGAVAGU,16.47007557187789, 79.52936207254967
BUGGAVANKA RESERVOIR,14.397674131672327, 78.8388857547677
CHAGALLU BALANCING RESERVOIR,16.9918555,81.6652051
CHENNARAYA SWAMI GUDI PROJECT,13.86311168069486, 78.17494510640901
CHERLOPALLI RESERVOIR,14.0348879,78.1121215
Chhaparwadi-II,21.888988583629462, 70.63119199701075
CHITRAVATI BALANCING RESERVOIR,14.5465668,77.948165
Chopadvav,21.5513475,73.735282
CUM BUM TANK,15.580755627728184, 79.06102417914856
Damanganga,20.37363049904731,72.87074420367418
DAMODARAM SAGARAM,17.86850717613452, 82.79076315409021
Dantiwada,24.32383,72.3308073
Demi - I,22.637971995806858, 70.68138509225612,
Demi - II,22.740511480508314, 70.61211207775975
Deo,21.80736495593551, 86.08698557551583
Dhari,21.326649,71.02525709999999
Dharoi,24.0004375,72.8426858
Dhatarvadi,21.03559782320557, 71.42418754037168
Dhatarwadi-II,21.132951201967014, 71.43260194559487
Dholi,21.712826356419054, 73.32250084724969
Dholidhaja,22.7213641,71.5872314
Dia-Minsar,21.83238541974844, 69.93140645454493
Don,21.871936472608144, 69.7930059861553
Dondi,22.286629418188138, 70.60316829490951
